Source,Target
M57GJBPI,72YLWTPE
M57GJBPI,7FDBMCVR
M57GJBPI,NR73ULRM
CZZ2XX98,G5PRW88S
CZZ2XX98,NLYWA8LV
CZZ2XX98,VGQW4TCY
NLYWA8LV,M7MTGMYF
NLYWA8LV,CZZ2XX98
NLYWA8LV,VGQW4TCY
NLYWA8LV,ZSQSX5Z4
UEPY899P,JLHHU9BP
NJJ973VS,WC7HH6HX
NJJ973VS,WASH9H7L
NJJ973VS,GZPYX9ML
NJJ973VS,VWWVS23T
NJJ973VS,RH3H5DB7
2SF4HXU2,AATRSKBL
GJM77Q9K,SADEY5LT
GJM77Q9K,5BG6WVIY
TAVCTA3B,ECSZPVUV
TAVCTA3B,FLHYI4GG
TAVCTA3B,XVE64LSJ
TAVCTA3B,MHIXCAVL
TAVCTA3B,WIAV2FDY
J8JZZA9M,ZZQB4HY5
J8JZZA9M,FV5LDYQ8
J8JZZA9M,7FDBMCVR
J8JZZA9M,PV3KNRMI
J8JZZA9M,CEDIC9GM
FV5LDYQ8,MHIXCAVL
FV5LDYQ8,PV3KNRMI
FV5LDYQ8,NRSD3EVJ
FV5LDYQ8,J8JZZA9M
FV5LDYQ8,NZACPAF3
FV5LDYQ8,7FDBMCVR
2QNGGQ9S,WSJTZAJ5
2QNGGQ9S,BX85ZNBK
2QNGGQ9S,SADEY5LT
2QNGGQ9S,X74A2Q5A
C6JKS3XF,47ZDYVQW
C6JKS3XF,8ZG2Q8M6
C6JKS3XF,ZSQSX5Z4
C6JKS3XF,PY9KP68T
C6JKS3XF,S3T9Z5S2
PY9KP68T,HMH9AGZM
PY9KP68T,C6JKS3XF
PY9KP68T,47ZDYVQW
PY9KP68T,8ZG2Q8M6
ZSQSX5Z4,NLYWA8LV
ZSQSX5Z4,C6JKS3XF
K6XGAUQB,2RPQ3E9E
K6XGAUQB,U3W5BLQ9
K6XGAUQB,5NFK46NT
6E5G37Y8,63SX3AAK
6E5G37Y8,UP5DR7RS
6E5G37Y8,9U834V9S
2XU4WNRW,P2JNU5VQ
2XU4WNRW,JM7QPJDC
2XU4WNRW,55SDD7NP
2XU4WNRW,CZUSV7HP
2XU4WNRW,CTJC5W9R
2XU4WNRW,DZMWFL5G
2XU4WNRW,ETBD3ZVU
2XU4WNRW,4XPCPUV8
XWGUNSSB,55SDD7NP
XWGUNSSB,7VNFPN8R
XWGUNSSB,DR7FK7LU
58Y4A3DE,AJZVQFV3
58Y4A3DE,55SDD7NP
58Y4A3DE,DR7FK7LU
58Y4A3DE,AZGUC3XU
58Y4A3DE,7VNFPN8R
58Y4A3DE,NCLYDKXG
58Y4A3DE,DZMWFL5G
NR73ULRM,M57GJBPI
NR73ULRM,9U834V9S
NR73ULRM,7FDBMCVR
9U834V9S,6E5G37Y8
9U834V9S,YN29B7LC
9U834V9S,63SX3AAK
9U834V9S,NR73ULRM
9U834V9S,UP5DR7RS
8ZG2Q8M6,C6JKS3XF
8ZG2Q8M6,99MHBXUU
8ZG2Q8M6,PY9KP68T
VWWVS23T,DE76QJUW
VWWVS23T,55SDD7NP
VWWVS23T,NJJ973VS
VWWVS23T,WC7HH6HX
DE76QJUW,WPIASHZ3
DE76QJUW,78DNS3Y6
DE76QJUW,VWWVS23T
TMXD5LPP,96LTXE77
TMXD5LPP,LZAZA7A9
TMXD5LPP,XVE64LSJ
VGQW4TCY,M7MTGMYF
VGQW4TCY,NLYWA8LV
VGQW4TCY,5GJLBF7K
VGQW4TCY,CZZ2XX98
VGQW4TCY,KAAZTIFZ
M7MTGMYF,SDBNZ63V
M7MTGMYF,5GJLBF7K
M7MTGMYF,JLHHU9BP
M7MTGMYF,VGQW4TCY
M7MTGMYF,NLYWA8LV
5GJLBF7K,VGQW4TCY
5GJLBF7K,M7MTGMYF
5GJLBF7K,KAAZTIFZ
H7Y7YZ4L,PV3KNRMI
H7Y7YZ4L,3KK6XJZX
H7Y7YZ4L,SF4DDPXM
H7Y7YZ4L,CEDIC9GM
H7Y7YZ4L,HC3Q9Q86
CEDIC9GM,JJIJSYMW
CEDIC9GM,H7Y7YZ4L
CEDIC9GM,ZZQB4HY5
CEDIC9GM,J8JZZA9M
CEDIC9GM,UIUWYF6M
CEDIC9GM,NZACPAF3
CEDIC9GM,7FDBMCVR
CEDIC9GM,PV3KNRMI
HC3Q9Q86,H7Y7YZ4L
HC3Q9Q86,63SX3AAK
HC3Q9Q86,SF4DDPXM
HC3Q9Q86,3KK6XJZX
PV3KNRMI,H7Y7YZ4L
PV3KNRMI,CEDIC9GM
PV3KNRMI,UIUWYF6M
PV3KNRMI,FV5LDYQ8
PV3KNRMI,NRSD3EVJ
PV3KNRMI,7FDBMCVR
PV3KNRMI,J8JZZA9M
